lineage,time_bin,pi,n_samples
AY.120.1,2021-07-12/2021-07-18,0.0002332327517091,13
AY.120.1,2021-07-19/2021-07-25,0.0002290406597666,27
AY.120.1,2021-07-26/2021-08-01,0.0002696523637811,41
AY.120.1,2021-08-02/2021-08-08,0.0002655687021033,62
AY.120.1,2021-08-09/2021-08-15,0.0002780452116815,76
AY.120.1,2021-08-16/2021-08-22,0.0003437523677604,46
AY.120.1,2021-08-23/2021-08-29,0.000348378195883,48
AY.120.1,2021-08-30/2021-09-05,0.0003543252463187,54
AY.120.1,2021-09-06/2021-09-12,0.0003975200405722,69
AY.120.1,2021-09-13/2021-09-19,0.0003708723565672,51
AY.120.1,2021-09-20/2021-09-26,0.0003913642212259,58
AY.120.1,2021-09-27/2021-10-03,0.0003896469552628,31
AY.120.1,2021-10-04/2021-10-10,0.0004543650948942,48
AY.120.1,2021-10-11/2021-10-17,0.0004093367987502,38
AY.120.1,2021-10-18/2021-10-24,0.0004725978061927,48
AY.120.1,2021-10-25/2021-10-31,0.0004222627521293,40
AY.120.1,2021-11-01/2021-11-07,0.0004121371745655,30
AY.120.1,2021-11-08/2021-11-14,0.0005090350425324,29
AY.120.1,2021-11-15/2021-11-21,0.0005405985098946,30
AY.120.1,2021-11-22/2021-11-28,0.0004729578016539,28
AY.120.1,2021-11-29/2021-12-05,0.0004718961679801,18
AY.120.1,2021-12-06/2021-12-12,0.0005557183914263,17
AY.120.1,2021-12-13/2021-12-19,0.0005470465616604,16
AY.121,2021-08-09/2021-08-15,0.0002759839231096,14
AY.121,2021-08-16/2021-08-22,0.0002780418591541,21
AY.121,2021-08-23/2021-08-29,0.0002974697553836,15
AY.121,2021-08-30/2021-09-05,0.0002906834662845,13
AY.121,2021-09-06/2021-09-12,0.0004083911718597,12
AY.121,2021-09-13/2021-09-19,0.0004614921579774,10
AY.121,2021-10-04/2021-10-10,0.0004027674829935,14
AY.121,2021-10-11/2021-10-17,0.0004476010896771,39
AY.121,2021-10-18/2021-10-24,0.0004423210623257,37
AY.121,2021-10-25/2021-10-31,0.0004780842673361,40
AY.121,2021-11-01/2021-11-07,0.0004822573421027,62
AY.121,2021-11-08/2021-11-14,0.0004804775205914,76
AY.121,2021-11-15/2021-11-21,0.0005293397369443,65
AY.121,2021-11-22/2021-11-28,0.0005383061798806,55
AY.121,2021-11-29/2021-12-05,0.0005549745709595,78
